# Synthetic SQUID data — FePt caps on 3.0um SiO2 spheres
# Generated for repository demonstration purposes only
[Data]
Magnetic Field (Oe),Moment (emu),Temperature (K)
70000.00,1.81068254e-03,300.0
68833.33,1.81090574e-03,300.0
67666.67,1.80913332e-03,300.0
66500.00,1.80500735e-03,300.0
65333.33,1.80848841e-03,300.0
64166.67,1.80654780e-03,300.0
63000.00,1.80346116e-03,300.0
61833.33,1.80446803e-03,300.0
60666.67,1.80268297e-03,300.0
59500.00,1.80105237e-03,300.0
58333.33,1.79887661e-03,300.0
57166.67,1.79809534e-03,300.0
56000.00,1.79351644e-03,300.0
54833.33,1.79243251e-03,300.0
53666.67,1.78931804e-03,300.0
52500.00,1.78872914e-03,300.0
51333.33,1.78455198e-03,300.0
50166.67,1.78048341e-03,300.0
49000.00,1.77571340e-03,300.0
47833.33,1.77253837e-03,300.0
46666.67,1.76835940e-03,300.0
45500.00,1.76253929e-03,300.0
44333.33,1.75981867e-03,300.0
43166.67,1.75270509e-03,300.0
42000.00,1.73797194e-03,300.0
40833.33,1.73147209e-03,300.0
39666.67,1.72581188e-03,300.0
38500.00,1.71517570e-03,300.0
37333.33,1.70513408e-03,300.0
36166.67,1.69252487e-03,300.0
35000.00,1.68226186e-03,300.0
33833.33,1.66013278e-03,300.0
32666.67,1.64415473e-03,300.0
31500.00,1.62958393e-03,300.0
30333.33,1.60521308e-03,300.0
29166.67,1.58128199e-03,300.0
28000.00,1.55234564e-03,300.0
26833.33,1.52062891e-03,300.0
25666.67,1.49168342e-03,300.0
24500.00,1.45558852e-03,300.0
23333.33,1.41325356e-03,300.0
22166.67,1.37070658e-03,300.0
21000.00,1.32403035e-03,300.0
19833.33,1.26983649e-03,300.0
18666.67,1.21425522e-03,300.0
17500.00,1.15228510e-03,300.0
16333.33,1.08449407e-03,300.0
15166.67,1.01023261e-03,300.0
14000.00,9.33603939e-04,300.0
12833.33,8.49633951e-04,300.0
11666.67,7.58178352e-04,300.0
10500.00,6.59902831e-04,300.0
9333.33,5.61482039e-04,300.0
8166.67,4.52230621e-04,300.0
7000.00,3.43305087e-04,300.0
5833.33,2.23285140e-04,300.0
4666.67,1.07284591e-04,300.0
3500.00,-1.77340762e-05,300.0
2333.33,-1.45743328e-04,300.0
1166.67,-2.70964909e-04,300.0
0.00,-3.97913697e-04,300.0
-1166.67,-5.24725936e-04,300.0
-2333.33,-6.52928379e-04,300.0
-3500.00,-7.76070652e-04,300.0
-4666.67,-8.92128779e-04,300.0
-5833.33,-1.00623042e-03,300.0
-7000.00,-1.10962261e-03,300.0
-8166.67,-1.20281097e-03,300.0
-9333.33,-1.28813170e-03,300.0
-10500.00,-1.34751993e-03,300.0
-11666.67,-1.38818189e-03,300.0
-12833.33,-1.41167628e-03,300.0
-14000.00,-1.41298087e-03,300.0
-15166.67,-1.39640771e-03,300.0
-16333.33,-1.37970494e-03,300.0
-17500.00,-1.36545370e-03,300.0
-18666.67,-1.36510089e-03,300.0
-19833.33,-1.37579459e-03,300.0
-21000.00,-1.39093217e-03,300.0
-22166.67,-1.41602534e-03,300.0
-23333.33,-1.44171360e-03,300.0
-24500.00,-1.47248813e-03,300.0
-25666.67,-1.50567764e-03,300.0
-26833.33,-1.53329165e-03,300.0
-28000.00,-1.55599509e-03,300.0
-29166.67,-1.58135427e-03,300.0
-30333.33,-1.60693187e-03,300.0
-31500.00,-1.62658729e-03,300.0
-32666.67,-1.64470066e-03,300.0
-33833.33,-1.66184775e-03,300.0
-35000.00,-1.67654198e-03,300.0
-36166.67,-1.69174551e-03,300.0
-37333.33,-1.70500197e-03,300.0
-38500.00,-1.71660395e-03,300.0
-39666.67,-1.72409144e-03,300.0
-40833.33,-1.73977784e-03,300.0
