# Synthetic SQUID data — FePt caps on 3.0um SiO2 spheres
# Generated for repository demonstration purposes only
[Data]
Magnetic Field (Oe),Moment (emu),Temperature (K)
70000.00,1.81036948e-03,300.0
68833.33,1.80821701e-03,300.0
67666.67,1.80764632e-03,300.0
66500.00,1.80273073e-03,300.0
65333.33,1.81027711e-03,300.0
64166.67,1.80794338e-03,300.0
63000.00,1.80388422e-03,300.0
61833.33,1.80485341e-03,300.0
60666.67,1.80251624e-03,300.0
59500.00,1.79935646e-03,300.0
58333.33,1.80077490e-03,300.0
57166.67,1.79638080e-03,300.0
56000.00,1.79433170e-03,300.0
54833.33,1.79117403e-03,300.0
53666.67,1.79119220e-03,300.0
52500.00,1.78733305e-03,300.0
51333.33,1.78556311e-03,300.0
50166.67,1.77985396e-03,300.0
49000.00,1.77753087e-03,300.0
47833.33,1.77126821e-03,300.0
46666.67,1.77002604e-03,300.0
45500.00,1.76346656e-03,300.0
44333.33,1.75789168e-03,300.0
43166.67,1.75151265e-03,300.0
42000.00,1.74137275e-03,300.0
40833.33,1.73681647e-03,300.0
39666.67,1.73027483e-03,300.0
38500.00,1.71274320e-03,300.0
37333.33,1.70124797e-03,300.0
36166.67,1.68908056e-03,300.0
35000.00,1.67970910e-03,300.0
33833.33,1.66261426e-03,300.0
32666.67,1.64706662e-03,300.0
31500.00,1.62694324e-03,300.0
30333.33,1.60434082e-03,300.0
29166.67,1.58052394e-03,300.0
28000.00,1.55303413e-03,300.0
26833.33,1.52566198e-03,300.0
25666.67,1.48908906e-03,300.0
24500.00,1.45452678e-03,300.0
23333.33,1.41619414e-03,300.0
22166.67,1.37567587e-03,300.0
21000.00,1.32264550e-03,300.0
19833.33,1.26956787e-03,300.0
18666.67,1.21332518e-03,300.0
17500.00,1.15403268e-03,300.0
16333.33,1.08395289e-03,300.0
15166.67,1.01389389e-03,300.0
14000.00,9.28671383e-04,300.0
12833.33,8.50108663e-04,300.0
11666.67,7.59606388e-04,300.0
10500.00,6.58701960e-04,300.0
9333.33,5.60325898e-04,300.0
8166.67,4.55665016e-04,300.0
7000.00,3.41722604e-04,300.0
5833.33,2.27428117e-04,300.0
4666.67,1.10205430e-04,300.0
3500.00,-1.71460848e-05,300.0
2333.33,-1.43806594e-04,300.0
1166.67,-2.71879214e-04,300.0
0.00,-3.96725772e-04,300.0
-1166.67,-5.25664979e-04,300.0
-2333.33,-6.51321495e-04,300.0
-3500.00,-7.74066425e-04,300.0
-4666.67,-8.91228209e-04,300.0
-5833.33,-1.00742960e-03,300.0
-7000.00,-1.11315337e-03,300.0
-8166.67,-1.20919776e-03,300.0
-9333.33,-1.28243678e-03,300.0
-10500.00,-1.34788112e-03,300.0
-11666.67,-1.38761095e-03,300.0
-12833.33,-1.41109914e-03,300.0
-14000.00,-1.41284355e-03,300.0
-15166.67,-1.39695634e-03,300.0
-16333.33,-1.38036501e-03,300.0
-17500.00,-1.36975384e-03,300.0
-18666.67,-1.36618059e-03,300.0
-19833.33,-1.36929740e-03,300.0
-21000.00,-1.39000344e-03,300.0
-22166.67,-1.41430091e-03,300.0
-23333.33,-1.44381735e-03,300.0
-24500.00,-1.47425484e-03,300.0
-25666.67,-1.50063263e-03,300.0
-26833.33,-1.53111058e-03,300.0
-28000.00,-1.55928088e-03,300.0
-29166.67,-1.58298206e-03,300.0
-30333.33,-1.60746259e-03,300.0
-31500.00,-1.62620510e-03,300.0
-32666.67,-1.64333335e-03,300.0
-33833.33,-1.66445673e-03,300.0
-35000.00,-1.67543738e-03,300.0
-36166.67,-1.69359372e-03,300.0
-37333.33,-1.70450549e-03,300.0
-38500.00,-1.71775903e-03,300.0
-39666.67,-1.72664739e-03,300.0
-40833.33,-1.73518133e-03,300.0
-42000.00,-1.74427995e-03,300.0
-43166.67,-1.75210766e-03,300.0
-44333.33,-1.75859273e-03,300.0
-45500.00,-1.76473684e-03,300.0
-46666.67,-1.77148580e-03,300.0
-47833.33,-1.77358028e-03,300.0
-49000.00,-1.77647589e-03,300.0
-50166.67,-1.77925215e-03,300.0
-51333.33,-1.78317872e-03,300.0
-52500.00,-1.78261702e-03,300.0
-53666.67,-1.78964507e-03,300.0
-54833.33,-1.79367109e-03,300.0
-56000.00,-1.79124614e-03,300.0
-57166.67,-1.79909639e-03,300.0
-58333.33,-1.79688284e-03,300.0
-59500.00,-1.80237441e-03,300.0
-60666.67,-1.80124561e-03,300.0
-61833.33,-1.80724260e-03,300.0
-63000.00,-1.80273652e-03,300.0
-64166.67,-1.80597155e-03,300.0
-65333.33,-1.80861306e-03,300.0
-66500.00,-1.80425682e-03,300.0
-67666.67,-1.80694173e-03,300.0
-68833.33,-1.80917089e-03,300.0
-70000.00,-1.81148226e-03,300.0
-70000.00,-2.61007810e-03,300.0
-68833.33,-2.60959036e-03,300.0
-67666.67,-2.60702289e-03,300.0
-66500.00,-2.60601751e-03,300.0
-65333.33,-2.60801321e-03,300.0
-64166.67,-2.60675379e-03,300.0
-63000.00,-2.60559920e-03,300.0
-61833.33,-2.60600443e-03,300.0
-60666.67,-2.60313697e-03,300.0
-59500.00,-2.60064892e-03,300.0
-58333.33,-2.59743786e-03,300.0
-57166.67,-2.59436115e-03,300.0
-56000.00,-2.59660604e-03,300.0
-54833.33,-2.59165638e-03,300.0
-53666.67,-2.59117119e-03,300.0
-52500.00,-2.58338107e-03,300.0
-51333.33,-2.58456998e-03,300.0
-50166.67,-2.58006407e-03,300.0
-49000.00,-2.57914954e-03,300.0
-47833.33,-2.57467414e-03,300.0
-46666.67,-2.56793972e-03,300.0
-45500.00,-2.56385860e-03,300.0
-44333.33,-2.55652396e-03,300.0
-43166.67,-2.55381529e-03,300.0
-42000.00,-2.54207025e-03,300.0
-40833.33,-2.53704907e-03,300.0
-39666.67,-2.52271658e-03,300.0
-38500.00,-2.51659702e-03,300.0
-37333.33,-2.50251226e-03,300.0
-36166.67,-2.49488019e-03,300.0
-35000.00,-2.47716829e-03,300.0
-33833.33,-2.46413288e-03,300.0
-32666.67,-2.44588371e-03,300.0
-31500.00,-2.42544918e-03,300.0
-30333.33,-2.40455381e-03,300.0
-29166.67,-2.37942732e-03,300.0
-28000.00,-2.35187829e-03,300.0
-26833.33,-2.32261941e-03,300.0
-25666.67,-2.29152332e-03,300.0
-24500.00,-2.25809713e-03,300.0
-23333.33,-2.21731720e-03,300.0
-22166.67,-2.17246398e-03,300.0
-21000.00,-2.12841719e-03,300.0
-19833.33,-2.07022041e-03,300.0
-18666.67,-2.01492877e-03,300.0
-17500.00,-1.95259316e-03,300.0
-16333.33,-1.88252038e-03,300.0
-15166.67,-1.80990018e-03,300.0
-14000.00,-1.73195977e-03,300.0
-12833.33,-1.64983090e-03,300.0
-11666.67,-1.55687852e-03,300.0
